,날짜,번호,제목,가수,장르,앨범이름,좋아요
0,20210704,32962258,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,해외종합,Savage Love (Laxed - Siren Beat) [BTS Remix],"176,038"
0,20210704,33359309,Off My Face,Justin Bieber,해외종합,Justice,"53,723"
0,20210704,31509376,12:45 (Stripped),Etham,해외종합,12:45 (Stripped),"141,043"
0,20210704,31029291,2002,Anne-Marie,해외종합,Speak Your Mind (Deluxe),"363,342"
0,20210704,32055419,Memories,Maroon 5,해외종합,JORDI (Deluxe),"169,836"
0,20210704,31979846,Dance Monkey,Tones And I,해외종합,The Kids Are Coming,"159,453"
0,20210704,31341518,Paris In The Rain,Lauv,해외종합,I met you when I was 18. (the playlist),"256,171"
0,20210704,32137576,Don't Start Now,Dua Lipa,해외종합,Future Nostalgia,"141,469"
0,20210704,32122539,Maniac,Conan Gray,해외종합,Maniac,"132,934"
0,20210704,33623210,Bad Habits,Ed Sheeran,해외종합,Bad Habits,"12,772"
0,20210704,33333951,Leave The Door Open,Bruno Mars,해외종합,Leave The Door Open,"52,975"
0,20210704,33398835,Kiss Me More (Feat. SZA),Doja Cat,해외종합,Kiss Me More (Feat. SZA),"28,403"
0,20210704,33507852,Leave Before You Love Me,Marshmello,해외종합,Leave Before You Love Me,"16,077"
0,20210704,32993141,Ashes,Stellar,해외종합,Ashes,"32,774"
0,20210704,33328774,Beautiful Mistakes,Maroon 5,해외종합,Beautiful Mistakes,"28,483"
0,20210704,33059002,parachute,John K,해외종합,love + everything else,"53,095"
0,20210704,31012145,Bad,Christopher,해외종합,Under the Surface,"138,510"
0,20210704,32793011,At My Worst,Pink Sweat$,해외종합,The Prelude,"76,028"
0,20210704,32584913,Stuck with U,Ariana Grande,해외종합,Stuck with U,"103,627"
0,20210704,",7931286",Love Yourself,Justin Bieber,해외종합,Purpose (Deluxe),"246,008"
0,20210704,33469725,Loving You Girl (Feat. Hkeem),Peder Elias,해외종합,Loving You Girl (Feat. Hkeem),"18,714"
0,20210704,32947184,Bad Boy,청하,해외종합,Bad Boy,"70,147"
0,20210704,32373713,To Die For,Sam Smith,해외종합,To Die For,"87,755"
0,20210704,30188113,Shape of You,Ed Sheeran,해외종합,÷ (Deluxe),"302,335"
0,20210704,31768993,Painkiller,Ruel,해외종합,Painkiller,"130,654"
0,20210704,33333761,Hold On,Justin Bieber,해외종합,Hold On,"25,415"
0,20210704,31701428,bad guy,Billie Eilish,해외종합,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","246,900"
0,20210704,33177161,Little Bit of Love,Tom Grennan,해외종합,Little Bit of Love,"18,701"
0,20210704,32962945,Levitating (feat. DaBaby),Dua Lipa,해외종합,Levitating (feat. DaBaby),"32,656"
0,20210704,",4857981",Sugar,Maroon 5,해외종합,V (Deluxe Edition),"208,084"
0,20210704,",7928705",YOUTH,Troye Sivan,해외종합,Blue Neighbourhood (Deluxe),"252,272"
0,20210704,31621518,comethru,Jeremy Zucker,해외종합,"summer,","187,730"
0,20210704,30227238,Believer,Imagine Dragons,해외종합,Evolve,"186,017"
0,20210704,33029358,pov,Ariana Grande,해외종합,Positions,"33,031"
0,20210704,33271200,Like 1999,Valley,해외종합,Like 1999,"30,364"
0,20210704,33486215,Build a Bitch,Bella Poarch,해외종합,Build a Bitch,"12,796"
0,20210704,33433769,Save Your Tears (Remix),The Weeknd,해외종합,Save Your Tears (Remix),"14,857"
0,20210704,32182451,Watermelon Sugar,Harry Styles,해외종합,Fine Line,"72,702"
0,20210704,32375186,Bang!,AJR,해외종합,OK ORCHESTRA,"34,333"
0,20210704,33481746,good 4 u,Olivia Rodrigo,해외종합,good 4 u,"11,073"
0,20210704,",5832034",One Call Away,Charlie Puth,해외종합,Nine Track Mind (Deluxe Edition),"203,985"
0,20210704,32033883,Circles,Post Malone,해외종합,Hollywood's Bleeding,"93,491"
0,20210704,32809262,Mood (Feat. Iann Dior),24KGoldn,해외종합,El Dorado,"49,139"
0,20210704,33029346,34+35,Ariana Grande,해외종합,Positions,"48,329"
0,20210704,",5629279",See You Again,Charlie Puth,해외종합,분노의 질주: 더 세븐 OST,"222,603"
0,20210704,32219271,Blinding Lights,The Weeknd,해외종합,Blinding Lights,"79,453"
0,20210704,30717645,Snowman,Sia,해외종합,Everyday is Christmas (Deluxe Edition),"172,743"
0,20210704,",4660794",I'm Not The Only One,Sam Smith,해외종합,In The Lonely Hour,"237,707"
0,20210704,32392747,HEARTBREAK ANNIVERSARY,Giveon,해외종합,When It's All Said And Done... Take Time,"27,845"
0,20210704,33464146,Break My Heart Myself (feat. Travis Barker),Bebe Rexha,해외종합,Better Mistakes,"6,784"
0,20210704,31978115,Bonfire,Peder Elias,해외종합,Bonfire,"56,081"
0,20210704,",8287788",Closer (Feat. Halsey),The Chainsmokers,해외종합,Collage EP,"220,419"
0,20210704,33183976,drivers license,Olivia Rodrigo,해외종합,SOUR,"31,223"
0,20210704,31877297,Señorita,Shawn Mendes,해외종합,Señorita,"153,479"
0,20210704,30380968,Attention,Charlie Puth,해외종합,Voicenotes,"171,798"
0,20210704,33341761,carpool,Zachary Knowles,해외종합,carpool,"16,490"
0,20210704,31341509,I Like Me Better,Lauv,해외종합,I met you when I was 18. (the playlist),"116,746"
0,20210704,32974285,cheap sunglasses,John K,해외종합,love + everything else,"43,042"
0,20210704,31341517,Never Not,Lauv,해외종합,I met you when I was 18. (the playlist),"108,717"
0,20210704,32357931,"always, i'll care",Jeremy Zucker,해외종합,"always, i’ll care","72,326"
0,20210704,",2002254",Viva La Vida,Coldplay,해외종합,Viva La Vida (Prospekt's March Edition),"111,010"
